Train Metrics
Epoch 0, 25% 	 Loss : 1.0467e+02 	 Res : 1.0837e+01 	 MSE : 6.1127e+01
Training Epoch 101 : 	 Train : 6.34771e-01 	 Res : 2.46480e-03 	 MSE : 3.40274e-01
Validation Epoch 101 : 	 Train : 6.41524e-01 	 Res : 5.11482e-03 	 MSE : 4.83502e-01
Training Epoch 101 finished, took current epoch 52.99s, cumulative time 5343.57s
Epoch 102, 25% 	 Loss : 6.4435e-01 	 Res : 3.5601e-03 	 MSE : 3.8041e-01
Epoch 102, 50% 	 Loss : 6.2947e-01 	 Res : 2.2892e-03 	 MSE : 2.9684e-01
Epoch 102, 75% 	 Loss : 6.3518e-01 	 Res : 2.0410e-03 	 MSE : 3.9481e-01
Training Epoch 102 : 	 Train : 6.34891e-01 	 Res : 2.45553e-03 	 MSE : 3.61213e-01
Validation Epoch 102 : 	 Train : 6.22845e-01 	 Res : 2.62143e-03 	 MSE : 2.48890e-01
Training Epoch 102 finished, took current epoch 52.26s, cumulative time 5395.70s
Epoch 103, 25% 	 Loss : 6.4639e-01 	 Res : 1.8760e-03 	 MSE : 3.1314e-01
Epoch 103, 50% 	 Loss : 6.1788e-01 	 Res : 1.7600e-03 	 MSE : 3.7167e-01
Epoch 103, 75% 	 Loss : 6.2062e-01 	 Res : 2.1336e-03 	 MSE : 4.1422e-01
Training Epoch 103 : 	 Train : 6.30155e-01 	 Res : 1.94685e-03 	 MSE : 3.72321e-01
Validation Epoch 103 : 	 Train : 6.15744e-01 	 Res : 1.67024e-03 	 MSE : 1.52728e-01
Training Epoch 103 finished, took current epoch 51.91s, cumulative time 5447.48s
Epoch 104, 25% 	 Loss : 6.2677e-01 	 Res : 1.7125e-03 	 MSE : 3.8370e-01
Epoch 104, 50% 	 Loss : 6.2061e-01 	 Res : 1.9045e-03 	 MSE : 3.5282e-01
Epoch 104, 75% 	 Loss : 6.2735e-01 	 Res : 2.4368e-03 	 MSE : 4.1017e-01
Training Epoch 104 : 	 Train : 6.30812e-01 	 Res : 2.10252e-03 	 MSE : 3.62851e-01
Validation Epoch 104 : 	 Train : 6.27861e-01 	 Res : 2.05028e-03 	 MSE : 1.86585e-01
Training Epoch 104 finished, took current epoch 51.54s, cumulative time 5498.86s
Epoch 105, 25% 	 Loss : 6.5339e-01 	 Res : 2.8756e-03 	 MSE : 3.5944e-01
Epoch 105, 50% 	 Loss : 6.2099e-01 	 Res : 2.1280e-03 	 MSE : 3.6523e-01
Epoch 105, 75% 	 Loss : 6.3218e-01 	 Res : 2.0407e-03 	 MSE : 3.7023e-01
Training Epoch 105 : 	 Train : 6.30998e-01 	 Res : 2.17951e-03 	 MSE : 3.54197e-01
Validation Epoch 105 : 	 Train : 6.18754e-01 	 Res : 2.69003e-03 	 MSE : 2.89632e-01
Training Epoch 105 finished, took current epoch 51.83s, cumulative time 5550.44s
Epoch 106, 25% 	 Loss : 6.1995e-01 	 Res : 1.5297e-03 	 MSE : 3.4983e-01
Epoch 106, 50% 	 Loss : 6.2992e-01 	 Res : 1.6278e-03 	 MSE : 3.4133e-01
Epoch 106, 75% 	 Loss : 6.3849e-01 	 Res : 1.8990e-03 	 MSE : 4.2728e-01
Training Epoch 106 : 	 Train : 6.39769e-01 	 Res : 2.96860e-03 	 MSE : 5.24556e-01
Validation Epoch 106 : 	 Train : 6.25175e-01 	 Res : 2.38954e-03 	 MSE : 1.86120e-01
Training Epoch 106 finished, took current epoch 52.59s, cumulative time 5602.90s
Epoch 107, 25% 	 Loss : 6.4780e-01 	 Res : 4.7945e-03 	 MSE : 3.4170e-01
Epoch 107, 50% 	 Loss : 6.3478e-01 	 Res : 2.0542e-03 	 MSE : 1.8934e-01
Epoch 107, 75% 	 Loss : 6.2736e-01 	 Res : 1.7793e-03 	 MSE : 1.8402e-01
Training Epoch 107 : 	 Train : 6.37563e-01 	 Res : 2.72509e-03 	 MSE : 2.68457e-01
Validation Epoch 107 : 	 Train : 6.15187e-01 	 Res : 9.10870e-04 	 MSE : 4.92423e-02
Training Epoch 107 finished, took current epoch 51.66s, cumulative time 5654.43s
Epoch 108, 25% 	 Loss : 6.3132e-01 	 Res : 2.0635e-03 	 MSE : 3.1961e-01
Epoch 108, 50% 	 Loss : 6.3706e-01 	 Res : 2.5355e-03 	 MSE : 3.7157e-01
Epoch 108, 75% 	 Loss : 6.2260e-01 	 Res : 2.0303e-03 	 MSE : 4.0006e-01
Training Epoch 108 : 	 Train : 6.30018e-01 	 Res : 2.11023e-03 	 MSE : 3.74602e-01
Validation Epoch 108 : 	 Train : 6.22920e-01 	 Res : 1.94761e-03 	 MSE : 3.05469e-01
Training Epoch 108 finished, took current epoch 52.16s, cumulative time 5706.46s
Epoch 109, 25% 	 Loss : 6.3253e-01 	 Res : 1.8895e-03 	 MSE : 4.0518e-01
Epoch 109, 50% 	 Loss : 6.3445e-01 	 Res : 1.7732e-03 	 MSE : 3.8514e-01
Epoch 109, 75% 	 Loss : 6.3060e-01 	 Res : 1.9559e-03 	 MSE : 3.7264e-01
Training Epoch 109 : 	 Train : 6.29139e-01 	 Res : 1.84255e-03 	 MSE : 3.87063e-01
Validation Epoch 109 : 	 Train : 6.18688e-01 	 Res : 2.48580e-03 	 MSE : 5.73352e-01
Training Epoch 109 finished, took current epoch 51.29s, cumulative time 5757.62s
Epoch 110, 25% 	 Loss : 6.2658e-01 	 Res : 1.5551e-03 	 MSE : 3.4359e-01
Epoch 110, 50% 	 Loss : 6.2555e-01 	 Res : 2.2481e-03 	 MSE : 3.8167e-01
Epoch 110, 75% 	 Loss : 6.3183e-01 	 Res : 2.5145e-03 	 MSE : 3.4013e-01
Training Epoch 110 : 	 Train : 6.35623e-01 	 Res : 2.65159e-03 	 MSE : 3.78383e-01
Validation Epoch 110 : 	 Train : 6.43101e-01 	 Res : 3.52827e-03 	 MSE : 2.17165e-01
Training Epoch 110 finished, took current epoch 55.61s, cumulative time 5813.03s
Epoch 111, 25% 	 Loss : 6.3535e-01 	 Res : 2.2015e-03 	 MSE : 3.6468e-01
Epoch 111, 50% 	 Loss : 6.3020e-01 	 Res : 2.2591e-03 	 MSE : 3.7370e-01
Epoch 111, 75% 	 Loss : 6.3821e-01 	 Res : 2.0793e-03 	 MSE : 3.8346e-01
Training Epoch 111 : 	 Train : 6.33050e-01 	 Res : 2.05445e-03 	 MSE : 3.34123e-01
Validation Epoch 111 : 	 Train : 6.29567e-01 	 Res : 2.98451e-03 	 MSE : 8.98902e-01
Training Epoch 111 finished, took current epoch 51.65s, cumulative time 5864.50s
Epoch 112, 25% 	 Loss : 6.1961e-01 	 Res : 1.9480e-03 	 MSE : 4.3966e-01
Epoch 112, 50% 	 Loss : 6.2994e-01 	 Res : 2.1522e-03 	 MSE : 3.4248e-01
Epoch 112, 75% 	 Loss : 6.3849e-01 	 Res : 1.8674e-03 	 MSE : 3.5803e-01
Training Epoch 112 : 	 Train : 6.29203e-01 	 Res : 1.95032e-03 	 MSE : 3.50359e-01
Validation Epoch 112 : 	 Train : 6.15069e-01 	 Res : 1.33708e-03 	 MSE : 1.29927e-01
Training Epoch 112 finished, took current epoch 52.90s, cumulative time 5917.12s
Epoch 113, 25% 	 Loss : 6.2406e-01 	 Res : 1.7661e-03 	 MSE : 2.4084e-01
Epoch 113, 50% 	 Loss : 6.1892e-01 	 Res : 1.6995e-03 	 MSE : 3.6712e-01
Epoch 113, 75% 	 Loss : 6.3726e-01 	 Res : 1.7528e-03 	 MSE : 3.6532e-01
Training Epoch 113 : 	 Train : 6.30260e-01 	 Res : 1.90806e-03 	 MSE : 3.25547e-01
Validation Epoch 113 : 	 Train : 6.19761e-01 	 Res : 2.03340e-03 	 MSE : 2.52041e-01
Training Epoch 113 finished, took current epoch 54.00s, cumulative time 5970.95s
Epoch 114, 25% 	 Loss : 6.2513e-01 	 Res : 2.1412e-03 	 MSE : 4.7550e-01
Epoch 114, 50% 	 Loss : 6.4328e-01 	 Res : 2.8435e-03 	 MSE : 6.1278e-01
Epoch 114, 75% 	 Loss : 6.4810e-01 	 Res : 2.3267e-03 	 MSE : 4.7729e-01
Training Epoch 114 : 	 Train : 6.35370e-01 	 Res : 2.39921e-03 	 MSE : 4.92068e-01
Validation Epoch 114 : 	 Train : 6.27993e-01 	 Res : 1.68963e-03 	 MSE : 2.62227e-01
Training Epoch 114 finished, took current epoch 53.08s, cumulative time 6023.81s
Epoch 115, 25% 	 Loss : 6.3012e-01 	 Res : 2.1188e-03 	 MSE : 3.1971e-01
Epoch 115, 50% 	 Loss : 6.3416e-01 	 Res : 1.7051e-03 	 MSE : 3.3993e-01
Epoch 115, 75% 	 Loss : 6.1761e-01 	 Res : 1.4406e-03 	 MSE : 2.6507e-01
Training Epoch 115 : 	 Train : 6.28635e-01 	 Res : 1.66967e-03 	 MSE : 2.87568e-01
Validation Epoch 115 : 	 Train : 6.16685e-01 	 Res : 1.50254e-03 	 MSE : 1.05743e-01
Training Epoch 115 finished, took current epoch 54.49s, cumulative time 6078.12s
Epoch 116, 25% 	 Loss : 6.2223e-01 	 Res : 1.3195e-03 	 MSE : 2.0915e-01
Epoch 116, 50% 	 Loss : 6.1858e-01 	 Res : 1.7986e-03 	 MSE : 3.4861e-01
Epoch 116, 75% 	 Loss : 6.3253e-01 	 Res : 1.6463e-03 	 MSE : 3.6075e-01
Training Epoch 116 : 	 Train : 6.25757e-01 	 Res : 1.60542e-03 	 MSE : 3.02385e-01
Validation Epoch 116 : 	 Train : 6.20642e-01 	 Res : 2.20420e-03 	 MSE : 3.79683e-01
Training Epoch 116 finished, took current epoch 53.28s, cumulative time 6131.23s
Epoch 117, 25% 	 Loss : 6.4025e-01 	 Res : 2.1241e-03 	 MSE : 3.3289e-01
Epoch 117, 50% 	 Loss : 6.3754e-01 	 Res : 2.6406e-03 	 MSE : 4.5434e-01
Epoch 117, 75% 	 Loss : 6.3524e-01 	 Res : 2.1892e-03 	 MSE : 3.1829e-01
Training Epoch 117 : 	 Train : 6.32042e-01 	 Res : 2.22453e-03 	 MSE : 3.51568e-01
Validation Epoch 117 : 	 Train : 6.76124e-01 	 Res : 6.15881e-03 	 MSE : 1.01911e+00
Training Epoch 117 finished, took current epoch 55.89s, cumulative time 6186.89s
Epoch 118, 25% 	 Loss : 6.3456e-01 	 Res : 2.3399e-03 	 MSE : 4.2726e-01
Epoch 118, 50% 	 Loss : 6.3583e-01 	 Res : 1.6997e-03 	 MSE : 3.8367e-01
Epoch 118, 75% 	 Loss : 6.2158e-01 	 Res : 1.8716e-03 	 MSE : 4.1160e-01
Training Epoch 118 : 	 Train : 6.30863e-01 	 Res : 2.05456e-03 	 MSE : 4.16298e-01
Validation Epoch 118 : 	 Train : 6.09346e-01 	 Res : 9.90137e-04 	 MSE : 6.78167e-02
Training Epoch 118 finished, took current epoch 53.67s, cumulative time 6240.39s
Epoch 119, 25% 	 Loss : 6.2401e-01 	 Res : 1.8873e-03 	 MSE : 2.9472e-01
Epoch 119, 50% 	 Loss : 6.4137e-01 	 Res : 1.9427e-03 	 MSE : 3.2465e-01
Epoch 119, 75% 	 Loss : 6.1064e-01 	 Res : 1.5213e-03 	 MSE : 3.1429e-01
Training Epoch 119 : 	 Train : 6.26086e-01 	 Res : 1.75768e-03 	 MSE : 3.23731e-01
Validation Epoch 119 : 	 Train : 6.10911e-01 	 Res : 1.73681e-03 	 MSE : 3.08386e-01
Training Epoch 119 finished, took current epoch 54.11s, cumulative time 6294.27s
Epoch 120, 25% 	 Loss : 6.4407e-01 	 Res : 2.4273e-03 	 MSE : 3.6940e-01
Epoch 120, 50% 	 Loss : 6.2395e-01 	 Res : 1.5928e-03 	 MSE : 3.3096e-01
Epoch 120, 75% 	 Loss : 6.2673e-01 	 Res : 1.4525e-03 	 MSE : 3.2437e-01
Training Epoch 120 : 	 Train : 6.26153e-01 	 Res : 1.76989e-03 	 MSE : 3.48120e-01
Validation Epoch 120 : 	 Train : 6.14637e-01 	 Res : 1.82268e-03 	 MSE : 1.98673e-01
Training Epoch 120 finished, took current epoch 51.47s, cumulative time 6345.51s
Epoch 121, 25% 	 Loss : 6.3398e-01 	 Res : 2.6129e-03 	 MSE : 3.4922e-01
Epoch 121, 50% 	 Loss : 6.2625e-01 	 Res : 2.8811e-03 	 MSE : 5.2446e-01
Epoch 121, 75% 	 Loss : 6.3136e-01 	 Res : 2.3621e-03 	 MSE : 2.9865e-01
Training Epoch 121 : 	 Train : 6.33747e-01 	 Res : 2.42663e-03 	 MSE : 3.82300e-01
Validation Epoch 121 : 	 Train : 6.21569e-01 	 Res : 2.45797e-03 	 MSE : 2.93261e-01
Training Epoch 121 finished, took current epoch 54.31s, cumulative time 6399.59s
Epoch 122, 25% 	 Loss : 6.3600e-01 	 Res : 1.7527e-03 	 MSE : 2.9812e-01
Epoch 122, 50% 	 Loss : 6.2154e-01 	 Res : 2.5305e-03 	 MSE : 3.6833e-01
Epoch 122, 75% 	 Loss : 6.4280e-01 	 Res : 2.0738e-03 	 MSE : 3.6863e-01
Training Epoch 122 : 	 Train : 6.29766e-01 	 Res : 2.02161e-03 	 MSE : 3.40478e-01
Validation Epoch 122 : 	 Train : 6.22558e-01 	 Res : 2.32231e-03 	 MSE : 1.59165e-01
Training Epoch 122 finished, took current epoch 52.54s, cumulative time 6451.92s
Epoch 123, 25% 	 Loss : 6.3457e-01 	 Res : 3.0812e-03 	 MSE : 5.6602e-01
Epoch 123, 50% 	 Loss : 6.2943e-01 	 Res : 2.2226e-03 	 MSE : 3.3150e-01
Epoch 123, 75% 	 Loss : 6.3339e-01 	 Res : 2.1964e-03 	 MSE : 3.7574e-01
Training Epoch 123 : 	 Train : 6.32350e-01 	 Res : 2.31981e-03 	 MSE : 4.00695e-01
Validation Epoch 123 : 	 Train : 6.12954e-01 	 Res : 1.46722e-03 	 MSE : 4.25732e-01
Training Epoch 123 finished, took current epoch 54.06s, cumulative time 6505.78s
Epoch 124, 25% 	 Loss : 6.1234e-01 	 Res : 1.6728e-03 	 MSE : 3.5585e-01
Epoch 124, 50% 	 Loss : 6.3874e-01 	 Res : 1.6625e-03 	 MSE : 3.4101e-01
Epoch 124, 75% 	 Loss : 6.1716e-01 	 Res : 1.4807e-03 	 MSE : 3.2677e-01
Training Epoch 124 : 	 Train : 6.25095e-01 	 Res : 1.66159e-03 	 MSE : 3.22392e-01
Validation Epoch 124 : 	 Train : 6.23963e-01 	 Res : 3.24899e-03 	 MSE : 5.65494e-01
Training Epoch 124 finished, took current epoch 52.34s, cumulative time 6557.62s
Epoch 125, 25% 	 Loss : 6.4066e-01 	 Res : 2.5148e-03 	 MSE : 4.1043e-01
Epoch 125, 50% 	 Loss : 6.3200e-01 	 Res : 2.1126e-03 	 MSE : 3.5660e-01
Epoch 125, 75% 	 Loss : 6.2454e-01 	 Res : 2.2799e-03 	 MSE : 3.1995e-01
Training Epoch 125 : 	 Train : 6.32792e-01 	 Res : 2.16137e-03 	 MSE : 3.61889e-01
Validation Epoch 125 : 	 Train : 6.23945e-01 	 Res : 2.40428e-03 	 MSE : 3.11845e-01
Training Epoch 125 finished, took current epoch 51.99s, cumulative time 6608.52s
Epoch 126, 25% 	 Loss : 6.2672e-01 	 Res : 1.5944e-03 	 MSE : 2.7658e-01
Epoch 126, 50% 	 Loss : 6.4486e-01 	 Res : 2.1152e-03 	 MSE : 3.5233e-01
Epoch 126, 75% 	 Loss : 6.1570e-01 	 Res : 1.5300e-03 	 MSE : 2.3959e-01
Training Epoch 126 : 	 Train : 6.27585e-01 	 Res : 1.71272e-03 	 MSE : 3.09271e-01
Validation Epoch 126 : 	 Train : 6.16091e-01 	 Res : 2.00663e-03 	 MSE : 5.08999e-01
Training Epoch 126 finished, took current epoch 50.70s, cumulative time 6658.91s
Epoch 127, 25% 	 Loss : 6.3250e-01 	 Res : 1.7578e-03 	 MSE : 3.9298e-01
Epoch 127, 50% 	 Loss : 6.2398e-01 	 Res : 1.5873e-03 	 MSE : 3.7419e-01
Epoch 127, 75% 	 Loss : 6.1760e-01 	 Res : 1.6874e-03 	 MSE : 3.0666e-01
Training Epoch 127 : 	 Train : 6.29166e-01 	 Res : 1.98114e-03 	 MSE : 3.88984e-01
Validation Epoch 127 : 	 Train : 6.24607e-01 	 Res : 2.82750e-03 	 MSE : 5.30000e-01
Training Epoch 127 finished, took current epoch 52.66s, cumulative time 6711.37s
Epoch 128, 25% 	 Loss : 6.3881e-01 	 Res : 2.7062e-03 	 MSE : 3.3224e-01
Epoch 128, 50% 	 Loss : 6.5220e-01 	 Res : 2.8950e-03 	 MSE : 3.1689e-01
Epoch 128, 75% 	 Loss : 6.1454e-01 	 Res : 2.4273e-03 	 MSE : 3.1196e-01
Training Epoch 128 : 	 Train : 6.33314e-01 	 Res : 2.38281e-03 	 MSE : 3.02581e-01
Validation Epoch 128 : 	 Train : 6.40362e-01 	 Res : 3.36789e-03 	 MSE : 2.55122e-01
Training Epoch 128 finished, took current epoch 51.88s, cumulative time 6762.92s
Epoch 129, 25% 	 Loss : 6.1819e-01 	 Res : 1.8198e-03 	 MSE : 3.0063e-01
Epoch 129, 50% 	 Loss : 6.3409e-01 	 Res : 1.6928e-03 	 MSE : 3.5947e-01
Epoch 129, 75% 	 Loss : 6.3740e-01 	 Res : 2.2796e-03 	 MSE : 4.5754e-01
Training Epoch 129 : 	 Train : 6.28187e-01 	 Res : 1.93212e-03 	 MSE : 3.44431e-01
Validation Epoch 129 : 	 Train : 6.15113e-01 	 Res : 2.08290e-03 	 MSE : 1.79618e-01
Training Epoch 129 finished, took current epoch 52.72s, cumulative time 6815.41s
Epoch 130, 25% 	 Loss : 5.9560e-01 	 Res : 1.5374e-03 	 MSE : 3.0239e-01
Epoch 130, 50% 	 Loss : 6.2928e-01 	 Res : 1.4746e-03 	 MSE : 3.0853e-01
Epoch 130, 75% 	 Loss : 6.3857e-01 	 Res : 1.6103e-03 	 MSE : 3.5247e-01
Training Epoch 130 : 	 Train : 6.22737e-01 	 Res : 1.53098e-03 	 MSE : 3.24507e-01
Validation Epoch 130 : 	 Train : 6.13706e-01 	 Res : 1.63491e-03 	 MSE : 2.06389e-01
Training Epoch 130 finished, took current epoch 54.54s, cumulative time 6869.68s
Epoch 131, 25% 	 Loss : 6.1270e-01 	 Res : 1.6128e-03 	 MSE : 3.3643e-01
Epoch 131, 50% 	 Loss : 6.1904e-01 	 Res : 1.6486e-03 	 MSE : 3.5257e-01
Epoch 131, 75% 	 Loss : 6.3457e-01 	 Res : 2.0388e-03 	 MSE : 3.4808e-01
Training Epoch 131 : 	 Train : 6.27012e-01 	 Res : 1.86145e-03 	 MSE : 3.38540e-01
Validation Epoch 131 : 	 Train : 6.13892e-01 	 Res : 1.76363e-03 	 MSE : 2.92463e-01
Training Epoch 131 finished, took current epoch 53.66s, cumulative time 6923.14s
Epoch 132, 25% 	 Loss : 6.1856e-01 	 Res : 1.5220e-03 	 MSE : 2.9927e-01
Epoch 132, 50% 	 Loss : 6.2462e-01 	 Res : 1.7919e-03 	 MSE : 4.3507e-01
Epoch 132, 75% 	 Loss : 6.2642e-01 	 Res : 1.2302e-03 	 MSE : 2.2651e-01
Training Epoch 132 : 	 Train : 6.25644e-01 	 Res : 1.54575e-03 	 MSE : 3.00532e-01
Validation Epoch 132 : 	 Train : 6.16155e-01 	 Res : 1.40324e-03 	 MSE : 3.72157e-01
Training Epoch 132 finished, took current epoch 55.03s, cumulative time 6977.94s
Epoch 133, 25% 	 Loss : 6.1400e-01 	 Res : 1.2833e-03 	 MSE : 2.2822e-01
Epoch 133, 50% 	 Loss : 6.2673e-01 	 Res : 1.4578e-03 	 MSE : 3.0806e-01
Epoch 133, 75% 	 Loss : 6.1030e-01 	 Res : 1.7283e-03 	 MSE : 3.7802e-01
Training Epoch 133 : 	 Train : 6.23579e-01 	 Res : 1.55817e-03 	 MSE : 3.10555e-01
Validation Epoch 133 : 	 Train : 6.13661e-01 	 Res : 1.67292e-03 	 MSE : 3.70494e-01
Training Epoch 133 finished, took current epoch 51.61s, cumulative time 7029.32s
Epoch 134, 25% 	 Loss : 6.2441e-01 	 Res : 1.6352e-03 	 MSE : 3.4689e-01
Epoch 134, 50% 	 Loss : 6.2593e-01 	 Res : 1.4700e-03 	 MSE : 3.4277e-01
Epoch 134, 75% 	 Loss : 6.2085e-01 	 Res : 1.6528e-03 	 MSE : 4.1596e-01
Training Epoch 134 : 	 Train : 6.29391e-01 	 Res : 2.07287e-03 	 MSE : 4.68993e-01
Validation Epoch 134 : 	 Train : 6.13601e-01 	 Res : 1.23898e-03 	 MSE : 1.18306e-01
Training Epoch 134 finished, took current epoch 52.58s, cumulative time 7081.70s
Epoch 135, 25% 	 Loss : 6.2229e-01 	 Res : 2.2970e-03 	 MSE : 3.8336e-01
Epoch 135, 50% 	 Loss : 6.2330e-01 	 Res : 1.6550e-03 	 MSE : 2.8175e-01
Epoch 135, 75% 	 Loss : 6.3129e-01 	 Res : 1.5726e-03 	 MSE : 3.6258e-01
Training Epoch 135 : 	 Train : 6.28278e-01 	 Res : 1.92682e-03 	 MSE : 3.23850e-01
Validation Epoch 135 : 	 Train : 6.31099e-01 	 Res : 3.49820e-03 	 MSE : 2.07485e-01
Training Epoch 135 finished, took current epoch 51.98s, cumulative time 7133.49s
Epoch 136, 25% 	 Loss : 6.3927e-01 	 Res : 1.8640e-03 	 MSE : 1.7036e-01
Epoch 136, 50% 	 Loss : 6.2658e-01 	 Res : 1.7869e-03 	 MSE : 3.4162e-01
Epoch 136, 75% 	 Loss : 6.1103e-01 	 Res : 1.6440e-03 	 MSE : 2.7747e-01
Training Epoch 136 : 	 Train : 6.27506e-01 	 Res : 1.81361e-03 	 MSE : 2.68528e-01
Validation Epoch 136 : 	 Train : 6.29432e-01 	 Res : 3.31740e-03 	 MSE : 6.69686e-01
Training Epoch 136 finished, took current epoch 52.35s, cumulative time 7185.57s
Epoch 137, 25% 	 Loss : 6.2074e-01 	 Res : 1.5364e-03 	 MSE : 3.2703e-01
Epoch 137, 50% 	 Loss : 6.2094e-01 	 Res : 1.4643e-03 	 MSE : 3.2898e-01
Epoch 137, 75% 	 Loss : 6.3714e-01 	 Res : 2.3563e-03 	 MSE : 4.2938e-01
Training Epoch 137 : 	 Train : 6.25278e-01 	 Res : 1.74254e-03 	 MSE : 3.47829e-01
Validation Epoch 137 : 	 Train : 6.07807e-01 	 Res : 1.43739e-03 	 MSE : 2.89463e-01
Training Epoch 137 finished, took current epoch 53.64s, cumulative time 7238.96s
Epoch 138, 25% 	 Loss : 6.1124e-01 	 Res : 1.6414e-03 	 MSE : 3.2930e-01
Epoch 138, 50% 	 Loss : 6.2717e-01 	 Res : 2.2707e-03 	 MSE : 2.8178e-01
Epoch 138, 75% 	 Loss : 6.5852e-01 	 Res : 2.4270e-03 	 MSE : 2.7625e-01
Training Epoch 138 : 	 Train : 6.28294e-01 	 Res : 2.00017e-03 	 MSE : 2.99705e-01
Validation Epoch 138 : 	 Train : 6.12730e-01 	 Res : 1.66875e-03 	 MSE : 2.70603e-01
Training Epoch 138 finished, took current epoch 53.02s, cumulative time 7291.80s
Epoch 139, 25% 	 Loss : 6.2774e-01 	 Res : 1.4441e-03 	 MSE : 3.2821e-01
Epoch 139, 50% 	 Loss : 6.2507e-01 	 Res : 2.1424e-03 	 MSE : 2.8917e-01
Epoch 139, 75% 	 Loss : 6.1878e-01 	 Res : 2.3177e-03 	 MSE : 3.3761e-01
Training Epoch 139 : 	 Train : 6.27472e-01 	 Res : 1.98550e-03 	 MSE : 3.51892e-01
Validation Epoch 139 : 	 Train : 6.20874e-01 	 Res : 2.33131e-03 	 MSE : 6.69441e-02
Training Epoch 139 finished, took current epoch 52.91s, cumulative time 7344.48s
Epoch 140, 25% 	 Loss : 6.1907e-01 	 Res : 1.8679e-03 	 MSE : 2.9995e-01
Epoch 140, 50% 	 Loss : 6.2564e-01 	 Res : 1.5732e-03 	 MSE : 2.8684e-01
Epoch 140, 75% 	 Loss : 6.4188e-01 	 Res : 2.3769e-03 	 MSE : 3.3682e-01
Training Epoch 140 : 	 Train : 6.29198e-01 	 Res : 2.01568e-03 	 MSE : 2.95968e-01
Validation Epoch 140 : 	 Train : 6.40126e-01 	 Res : 3.75398e-03 	 MSE : 1.66559e-01
Training Epoch 140 finished, took current epoch 52.35s, cumulative time 7396.53s
Epoch 141, 25% 	 Loss : 6.1925e-01 	 Res : 2.0276e-03 	 MSE : 3.3180e-01
Epoch 141, 50% 	 Loss : 5.9709e-01 	 Res : 1.8020e-03 	 MSE : 3.3849e-01
Epoch 141, 75% 	 Loss : 6.5202e-01 	 Res : 1.8827e-03 	 MSE : 3.8185e-01
Training Epoch 141 : 	 Train : 6.26471e-01 	 Res : 1.73888e-03 	 MSE : 3.17491e-01
Validation Epoch 141 : 	 Train : 6.18707e-01 	 Res : 2.15444e-03 	 MSE : 4.31647e-01
Training Epoch 141 finished, took current epoch 52.86s, cumulative time 7449.19s
Epoch 142, 25% 	 Loss : 6.2205e-01 	 Res : 1.5884e-03 	 MSE : 3.5038e-01
Epoch 142, 50% 	 Loss : 6.2326e-01 	 Res : 1.4376e-03 	 MSE : 3.2396e-01
Epoch 142, 75% 	 Loss : 6.2181e-01 	 Res : 1.5122e-03 	 MSE : 3.4045e-01
Training Epoch 142 : 	 Train : 6.21874e-01 	 Res : 1.49500e-03 	 MSE : 3.33351e-01
Validation Epoch 142 : 	 Train : 6.08049e-01 	 Res : 1.17546e-03 	 MSE : 1.41363e-01
Training Epoch 142 finished, took current epoch 53.45s, cumulative time 7502.42s
Epoch 143, 25% 	 Loss : 6.2180e-01 	 Res : 1.4846e-03 	 MSE : 3.0565e-01
Epoch 143, 50% 	 Loss : 6.3397e-01 	 Res : 2.0254e-03 	 MSE : 3.0589e-01
Epoch 143, 75% 	 Loss : 6.3442e-01 	 Res : 2.3964e-03 	 MSE : 3.4593e-01
Training Epoch 143 : 	 Train : 6.27326e-01 	 Res : 1.97869e-03 	 MSE : 3.32590e-01
Validation Epoch 143 : 	 Train : 6.19645e-01 	 Res : 2.62825e-03 	 MSE : 4.53158e-01
Training Epoch 143 finished, took current epoch 52.93s, cumulative time 7555.15s
Epoch 144, 25% 	 Loss : 6.2952e-01 	 Res : 1.7204e-03 	 MSE : 3.2545e-01
Epoch 144, 50% 	 Loss : 6.3872e-01 	 Res : 2.8390e-03 	 MSE : 2.3815e-01
Epoch 144, 75% 	 Loss : 6.2891e-01 	 Res : 1.8510e-03 	 MSE : 3.1561e-01
Training Epoch 144 : 	 Train : 6.26848e-01 	 Res : 2.02785e-03 	 MSE : 2.99884e-01
Validation Epoch 144 : 	 Train : 6.13733e-01 	 Res : 1.88126e-03 	 MSE : 3.65889e-01
Training Epoch 144 finished, took current epoch 53.58s, cumulative time 7608.52s
Epoch 145, 25% 	 Loss : 6.3156e-01 	 Res : 1.9924e-03 	 MSE : 3.6315e-01
Epoch 145, 50% 	 Loss : 6.1243e-01 	 Res : 1.7105e-03 	 MSE : 2.9696e-01
Epoch 145, 75% 	 Loss : 6.1656e-01 	 Res : 1.5877e-03 	 MSE : 3.2453e-01
Training Epoch 145 : 	 Train : 6.26627e-01 	 Res : 1.95025e-03 	 MSE : 3.68944e-01
Validation Epoch 145 : 	 Train : 6.19922e-01 	 Res : 2.36884e-03 	 MSE : 2.75816e-01
Training Epoch 145 finished, took current epoch 51.77s, cumulative time 7660.04s
Epoch 146, 25% 	 Loss : 6.3148e-01 	 Res : 1.6357e-03 	 MSE : 1.8024e-01
Epoch 146, 50% 	 Loss : 6.2664e-01 	 Res : 1.7948e-03 	 MSE : 2.7579e-01
Epoch 146, 75% 	 Loss : 6.3406e-01 	 Res : 1.9077e-03 	 MSE : 3.9628e-01
