Train Metrics
Epoch 0, 25% 	 Loss : 4.8200e+00 	 Res : 3.7218e+00 	 Jac : 9.8467e-02 	 Enc : 6.8557e-01 	 AEnc : 2.6680e-01 	 MSE : 4.7332e+01
Validation Epoch 81 : 	 Train : 8.47168e-02 	 Res : 4.77115e-02 	 Jac : 2.21899e-02 	 Enc : 2.93772e-03 	 AE : 9.02912e-04 	 MSE : 1.09747e+01
Training Epoch 81 finished, took current epoch 493.34s, cumulative time 34826.57s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 82, 25% 	 Loss : 8.8794e-02 	 Res : 4.6783e-02 	 Jac : 2.1361e-02 	 Enc : 2.8686e-03 	 AEnc : 3.7523e-03 	 MSE : 1.4029e+01
Epoch 82, 50% 	 Loss : 7.4681e-02 	 Res : 3.4968e-02 	 Jac : 2.0255e-02 	 Enc : 2.5998e-03 	 AEnc : 2.9661e-03 	 MSE : 1.3893e+01
Epoch 82, 75% 	 Loss : 6.9175e-02 	 Res : 2.2821e-02 	 Jac : 2.1278e-02 	 Enc : 2.6471e-03 	 AEnc : 1.4524e-02 	 MSE : 7.9040e+00
Training Epoch 82 : 	 Train : 7.30233e-02 	 Res : 3.13107e-02 	 Jac : 2.08905e-02 	 Enc : 2.68993e-03 	 AE : 7.55504e-03 	 MSE : 1.05771e+01
Validation Epoch 82 : 	 Train : 4.21113e-02 	 Res : 1.47402e-02 	 Jac : 2.06130e-02 	 Enc : 2.88890e-03 	 AE : 4.12993e-04 	 MSE : 3.45619e+00
Training Epoch 82 finished, took current epoch 475.93s, cumulative time 35302.45s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
MODEL SAVED
Epoch 83, 25% 	 Loss : 5.6586e-02 	 Res : 2.2995e-02 	 Jac : 1.9931e-02 	 Enc : 2.6265e-03 	 AEnc : 5.6155e-04 	 MSE : 1.0472e+01
Epoch 83, 50% 	 Loss : 7.4719e-02 	 Res : 3.7623e-02 	 Jac : 2.0679e-02 	 Enc : 2.8152e-03 	 AEnc : 3.2922e-04 	 MSE : 1.3272e+01
Epoch 83, 75% 	 Loss : 4.5535e-02 	 Res : 1.5629e-02 	 Jac : 1.9609e-02 	 Enc : 2.6540e-03 	 AEnc : 1.5552e-03 	 MSE : 6.0881e+00
Training Epoch 83 : 	 Train : 5.73066e-02 	 Res : 2.42467e-02 	 Jac : 2.00723e-02 	 Enc : 2.69183e-03 	 AE : 8.72033e-04 	 MSE : 9.42367e+00
Validation Epoch 83 : 	 Train : 3.85949e-02 	 Res : 1.06546e-02 	 Jac : 1.99402e-02 	 Enc : 2.61429e-03 	 AE : 1.95417e-04 	 MSE : 5.19049e+00
Training Epoch 83 finished, took current epoch 456.03s, cumulative time 35758.44s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
MODEL SAVED
Epoch 84, 25% 	 Loss : 5.0443e-02 	 Res : 2.0064e-02 	 Jac : 1.9710e-02 	 Enc : 2.7861e-03 	 AEnc : 5.9775e-04 	 MSE : 7.2849e+00
Epoch 84, 50% 	 Loss : 8.9495e-02 	 Res : 3.5995e-02 	 Jac : 1.9784e-02 	 Enc : 2.7366e-03 	 AEnc : 2.2822e-02 	 MSE : 8.1573e+00
Epoch 84, 75% 	 Loss : 7.9804e-02 	 Res : 2.2830e-02 	 Jac : 1.8993e-02 	 Enc : 2.6945e-03 	 AEnc : 2.7776e-02 	 MSE : 7.5100e+00
Training Epoch 84 : 	 Train : 7.44746e-02 	 Res : 2.87921e-02 	 Jac : 1.97391e-02 	 Enc : 2.79688e-03 	 AE : 1.52932e-02 	 MSE : 7.85335e+00
Validation Epoch 84 : 	 Train : 6.40837e-02 	 Res : 2.20548e-02 	 Jac : 1.77472e-02 	 Enc : 2.32930e-03 	 AE : 1.03881e-02 	 MSE : 1.15643e+01
Training Epoch 84 finished, took current epoch 469.18s, cumulative time 36227.60s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 85, 25% 	 Loss : 6.6406e-02 	 Res : 2.7813e-02 	 Jac : 1.8649e-02 	 Enc : 2.8049e-03 	 AEnc : 8.4264e-03 	 MSE : 8.7122e+00
Epoch 85, 50% 	 Loss : 9.4992e-02 	 Res : 3.1131e-02 	 Jac : 1.9009e-02 	 Enc : 2.7480e-03 	 AEnc : 3.4568e-02 	 MSE : 7.5362e+00
Epoch 85, 75% 	 Loss : 7.9511e-02 	 Res : 2.8321e-02 	 Jac : 1.8890e-02 	 Enc : 2.7720e-03 	 AEnc : 1.9141e-02 	 MSE : 1.0387e+01
Training Epoch 85 : 	 Train : 7.51816e-02 	 Res : 2.65127e-02 	 Jac : 1.88838e-02 	 Enc : 2.77043e-03 	 AE : 1.83785e-02 	 MSE : 8.63618e+00
Validation Epoch 85 : 	 Train : 8.33084e-02 	 Res : 3.31422e-02 	 Jac : 1.96172e-02 	 Enc : 2.35180e-03 	 AE : 1.39313e-02 	 MSE : 1.42659e+01
Training Epoch 85 finished, took current epoch 465.02s, cumulative time 36692.61s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 86, 25% 	 Loss : 5.3210e-02 	 Res : 1.9431e-02 	 Jac : 1.9328e-02 	 Enc : 2.6443e-03 	 AEnc : 3.3672e-03 	 MSE : 8.4392e+00
Epoch 86, 50% 	 Loss : 6.2860e-02 	 Res : 2.9472e-02 	 Jac : 1.9545e-02 	 Enc : 2.6892e-03 	 AEnc : 1.0148e-03 	 MSE : 1.0139e+01
Epoch 86, 75% 	 Loss : 8.6446e-02 	 Res : 4.9192e-02 	 Jac : 1.9300e-02 	 Enc : 2.8521e-03 	 AEnc : 5.6419e-04 	 MSE : 1.4537e+01
Training Epoch 86 : 	 Train : 6.32701e-02 	 Res : 2.97817e-02 	 Jac : 1.92863e-02 	 Enc : 2.73617e-03 	 AE : 1.56532e-03 	 MSE : 9.90061e+00
Validation Epoch 86 : 	 Train : 4.02295e-02 	 Res : 1.33773e-02 	 Jac : 1.87001e-02 	 Enc : 2.70944e-03 	 AE : 1.39743e-03 	 MSE : 4.04527e+00
Training Epoch 86 finished, took current epoch 458.18s, cumulative time 37150.77s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 87, 25% 	 Loss : 7.5126e-02 	 Res : 3.7620e-02 	 Jac : 1.8886e-02 	 Enc : 2.7993e-03 	 AEnc : 3.1960e-03 	 MSE : 1.2624e+01
Epoch 87, 50% 	 Loss : 6.5675e-02 	 Res : 3.2512e-02 	 Jac : 1.9189e-02 	 Enc : 2.7945e-03 	 AEnc : 2.4350e-03 	 MSE : 8.7446e+00
Epoch 87, 75% 	 Loss : 6.3848e-02 	 Res : 3.0813e-02 	 Jac : 1.8971e-02 	 Enc : 2.7742e-03 	 AEnc : 1.3408e-03 	 MSE : 9.9485e+00
Training Epoch 87 : 	 Train : 6.33503e-02 	 Res : 2.99596e-02 	 Jac : 1.89014e-02 	 Enc : 2.76194e-03 	 AE : 2.05760e-03 	 MSE : 9.66981e+00
Validation Epoch 87 : 	 Train : 5.54308e-02 	 Res : 2.13139e-02 	 Jac : 1.74591e-02 	 Enc : 2.56453e-03 	 AE : 1.46380e-03 	 MSE : 1.26295e+01
Training Epoch 87 finished, took current epoch 460.14s, cumulative time 37610.88s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 88, 25% 	 Loss : 5.1252e-02 	 Res : 1.9979e-02 	 Jac : 1.8518e-02 	 Enc : 2.6603e-03 	 AEnc : 6.1881e-04 	 MSE : 9.4757e+00
Epoch 88, 50% 	 Loss : 5.0721e-02 	 Res : 2.1107e-02 	 Jac : 1.9184e-02 	 Enc : 2.6719e-03 	 AEnc : 1.8979e-04 	 MSE : 7.5684e+00
Epoch 88, 75% 	 Loss : 1.5971e-01 	 Res : 1.1469e-01 	 Jac : 1.9404e-02 	 Enc : 2.8432e-03 	 AEnc : 2.8137e-04 	 MSE : 2.2492e+01
Training Epoch 88 : 	 Train : 8.20966e-02 	 Res : 4.67187e-02 	 Jac : 1.89115e-02 	 Enc : 2.75568e-03 	 AE : 6.84538e-04 	 MSE : 1.30262e+01
Validation Epoch 88 : 	 Train : 4.44667e-02 	 Res : 1.49855e-02 	 Jac : 1.90320e-02 	 Enc : 2.59459e-03 	 AE : 2.12297e-03 	 MSE : 5.73168e+00
Training Epoch 88 finished, took current epoch 459.43s, cumulative time 38070.26s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 89, 25% 	 Loss : 1.0483e-01 	 Res : 6.9306e-02 	 Jac : 2.0305e-02 	 Enc : 2.6914e-03 	 AEnc : 8.2659e-04 	 MSE : 1.1698e+01
Epoch 89, 50% 	 Loss : 5.5916e-02 	 Res : 2.3385e-02 	 Jac : 1.8957e-02 	 Enc : 2.5937e-03 	 AEnc : 7.8574e-04 	 MSE : 1.0195e+01
Epoch 89, 75% 	 Loss : 4.9782e-02 	 Res : 1.9140e-02 	 Jac : 1.9695e-02 	 Enc : 2.5899e-03 	 AEnc : 5.9503e-04 	 MSE : 7.7620e+00
Training Epoch 89 : 	 Train : 6.48991e-02 	 Res : 3.26237e-02 	 Jac : 1.96103e-02 	 Enc : 2.63532e-03 	 AE : 6.61167e-04 	 MSE : 9.36855e+00
Validation Epoch 89 : 	 Train : 4.35771e-02 	 Res : 1.49579e-02 	 Jac : 2.01285e-02 	 Enc : 2.87690e-03 	 AE : 4.51659e-04 	 MSE : 5.16216e+00
Training Epoch 89 finished, took current epoch 457.30s, cumulative time 38527.52s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 90, 25% 	 Loss : 5.3272e-02 	 Res : 2.1860e-02 	 Jac : 1.9701e-02 	 Enc : 2.6734e-03 	 AEnc : 6.9265e-04 	 MSE : 8.3449e+00
Epoch 90, 50% 	 Loss : 5.7137e-02 	 Res : 2.3985e-02 	 Jac : 1.8882e-02 	 Enc : 2.6827e-03 	 AEnc : 1.3094e-03 	 MSE : 1.0278e+01
Epoch 90, 75% 	 Loss : 5.7781e-02 	 Res : 2.5051e-02 	 Jac : 1.9007e-02 	 Enc : 2.6435e-03 	 AEnc : 1.1731e-03 	 MSE : 9.9074e+00
Training Epoch 90 : 	 Train : 5.41554e-02 	 Res : 2.24517e-02 	 Jac : 1.90440e-02 	 Enc : 2.67007e-03 	 AE : 1.06643e-03 	 MSE : 8.92321e+00
Validation Epoch 90 : 	 Train : 5.46172e-02 	 Res : 2.65894e-02 	 Jac : 1.78422e-02 	 Enc : 2.56006e-03 	 AE : 3.54022e-04 	 MSE : 7.27155e+00
Training Epoch 90 finished, took current epoch 448.70s, cumulative time 38976.20s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 91, 25% 	 Loss : 5.2863e-02 	 Res : 2.5200e-02 	 Jac : 1.8379e-02 	 Enc : 2.5920e-03 	 AEnc : 7.5144e-04 	 MSE : 5.9404e+00
Epoch 91, 50% 	 Loss : 1.1226e-01 	 Res : 7.4452e-02 	 Jac : 1.8934e-02 	 Enc : 2.6959e-03 	 AEnc : 1.8098e-03 	 MSE : 1.4363e+01
Epoch 91, 75% 	 Loss : 1.1732e-01 	 Res : 7.8475e-02 	 Jac : 1.8377e-02 	 Enc : 3.1023e-03 	 AEnc : 1.6186e-03 	 MSE : 1.5749e+01
Training Epoch 91 : 	 Train : 9.39605e-02 	 Res : 5.67622e-02 	 Jac : 1.85195e-02 	 Enc : 2.83555e-03 	 AE : 2.81962e-03 	 MSE : 1.30237e+01
Validation Epoch 91 : 	 Train : 1.70099e-01 	 Res : 1.06983e-01 	 Jac : 2.09924e-02 	 Enc : 3.93299e-03 	 AE : 7.74862e-03 	 MSE : 3.04418e+01
Training Epoch 91 finished, took current epoch 521.10s, cumulative time 39497.27s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 92, 25% 	 Loss : 2.0622e-01 	 Res : 1.0299e-01 	 Jac : 1.8948e-02 	 Enc : 3.1182e-03 	 AEnc : 6.3992e-02 	 MSE : 1.7170e+01
Epoch 92, 50% 	 Loss : 8.7714e-02 	 Res : 2.3226e-02 	 Jac : 1.8827e-02 	 Enc : 2.7631e-03 	 AEnc : 3.4892e-02 	 MSE : 8.0065e+00
Epoch 92, 75% 	 Loss : 1.1177e-01 	 Res : 6.5507e-02 	 Jac : 1.9855e-02 	 Enc : 2.7200e-03 	 AEnc : 1.1017e-02 	 MSE : 1.2667e+01
Training Epoch 92 : 	 Train : 1.19197e-01 	 Res : 5.53509e-02 	 Jac : 1.90582e-02 	 Enc : 2.86339e-03 	 AE : 3.03577e-02 	 MSE : 1.15664e+01
Validation Epoch 92 : 	 Train : 5.53227e-02 	 Res : 1.49540e-02 	 Jac : 1.79693e-02 	 Enc : 2.55348e-03 	 AE : 1.10922e-02 	 MSE : 8.75377e+00
Training Epoch 92 finished, took current epoch 470.90s, cumulative time 39968.16s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 93, 25% 	 Loss : 1.0631e-01 	 Res : 3.6446e-02 	 Jac : 1.9015e-02 	 Enc : 2.8030e-03 	 AEnc : 3.8836e-02 	 MSE : 9.2106e+00
Epoch 93, 50% 	 Loss : 8.2551e-02 	 Res : 3.0848e-02 	 Jac : 1.8843e-02 	 Enc : 2.7676e-03 	 AEnc : 1.8947e-02 	 MSE : 1.1146e+01
Epoch 93, 75% 	 Loss : 6.3922e-02 	 Res : 2.2727e-02 	 Jac : 1.9075e-02 	 Enc : 2.6028e-03 	 AEnc : 1.0448e-02 	 MSE : 9.0693e+00
Training Epoch 93 : 	 Train : 7.71308e-02 	 Res : 2.83215e-02 	 Jac : 1.89930e-02 	 Enc : 2.69124e-03 	 AE : 1.78610e-02 	 MSE : 9.26408e+00
Validation Epoch 93 : 	 Train : 7.11744e-02 	 Res : 3.11493e-02 	 Jac : 1.90149e-02 	 Enc : 2.93135e-03 	 AE : 5.14856e-03 	 MSE : 1.29304e+01
Training Epoch 93 finished, took current epoch 502.69s, cumulative time 40470.81s
Current Learning rate DEQ : 0.0017149999999999995
Current Learning rate AUTOENC : 0.003429999999999999
Epoch 94, 25% 	 Loss : 7.1260e-02 	 Res : 3.4239e-02 	 Jac : 1.8978e-02 	 Enc : 2.6829e-03 	 AEnc : 4.3260e-03 	 MSE : 1.1034e+01
Epoch 94, 50% 	 Loss : 1.5526e-01 	 Res : 1.0661e-01 	 Jac : 1.8754e-02 	 Enc : 3.0485e-03 	 AEnc : 1.7349e-03 	 MSE : 2.5105e+01
Epoch 94, 75% 	 Loss : 9.2711e-02 	 Res : 5.0039e-02 	 Jac : 1.8369e-02 	 Enc : 3.0522e-03 	 AEnc : 1.2728e-03 	 MSE : 1.9977e+01
Training Epoch 94 : 	 Train : 9.68345e-02 	 Res : 5.57643e-02 	 Jac : 1.88971e-02 	 Enc : 2.86977e-03 	 AE : 2.12431e-03 	 MSE : 1.71790e+01
Validation Epoch 94 : 	 Train : 4.18943e-02 	 Res : 1.23044e-02 	 Jac : 1.90048e-02 	 Enc : 2.56630e-03 	 AE : 5.99940e-04 	 MSE : 7.41887e+00
Training Epoch 94 finished, took current epoch 448.26s, cumulative time 40919.03s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
Epoch 95, 25% 	 Loss : 3.9805e-02 	 Res : 1.2377e-02 	 Jac : 1.9322e-02 	 Enc : 2.6000e-03 	 AEnc : 1.4839e-03 	 MSE : 4.0217e+00
Epoch 95, 50% 	 Loss : 4.5184e-02 	 Res : 1.4937e-02 	 Jac : 1.9036e-02 	 Enc : 2.5842e-03 	 AEnc : 3.1470e-03 	 MSE : 5.4798e+00
Epoch 95, 75% 	 Loss : 6.2299e-02 	 Res : 2.5064e-02 	 Jac : 1.9223e-02 	 Enc : 2.6599e-03 	 AEnc : 6.4214e-03 	 MSE : 8.9297e+00
Training Epoch 95 : 	 Train : 4.80383e-02 	 Res : 1.63447e-02 	 Jac : 1.91120e-02 	 Enc : 2.60951e-03 	 AE : 3.93894e-03 	 MSE : 6.03314e+00
Validation Epoch 95 : 	 Train : 4.14163e-02 	 Res : 1.22240e-02 	 Jac : 1.87791e-02 	 Enc : 2.61418e-03 	 AE : 2.51815e-03 	 MSE : 5.28095e+00
Training Epoch 95 finished, took current epoch 457.61s, cumulative time 41376.61s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
Epoch 96, 25% 	 Loss : 4.5263e-02 	 Res : 1.3532e-02 	 Jac : 1.9226e-02 	 Enc : 2.6469e-03 	 AEnc : 5.5866e-03 	 MSE : 4.2711e+00
Epoch 96, 50% 	 Loss : 5.6101e-02 	 Res : 1.3765e-02 	 Jac : 1.9116e-02 	 Enc : 2.6488e-03 	 AEnc : 1.5898e-02 	 MSE : 4.6745e+00
Epoch 96, 75% 	 Loss : 4.1622e-02 	 Res : 1.0461e-02 	 Jac : 1.9004e-02 	 Enc : 2.6289e-03 	 AEnc : 5.7148e-03 	 MSE : 3.8128e+00
Training Epoch 96 : 	 Train : 4.87564e-02 	 Res : 1.44081e-02 	 Jac : 1.90271e-02 	 Enc : 2.64981e-03 	 AE : 7.92973e-03 	 MSE : 4.74173e+00
Validation Epoch 96 : 	 Train : 5.49102e-02 	 Res : 2.47684e-02 	 Jac : 1.95672e-02 	 Enc : 2.71310e-03 	 AE : 1.39411e-03 	 MSE : 6.46741e+00
Training Epoch 96 finished, took current epoch 516.38s, cumulative time 41892.95s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
Epoch 97, 25% 	 Loss : 6.8028e-02 	 Res : 3.2267e-02 	 Jac : 1.9131e-02 	 Enc : 2.8044e-03 	 AEnc : 2.9393e-03 	 MSE : 1.0886e+01
Epoch 97, 50% 	 Loss : 6.0365e-02 	 Res : 2.4931e-02 	 Jac : 1.8573e-02 	 Enc : 2.7972e-03 	 AEnc : 4.4702e-03 	 MSE : 9.5936e+00
Epoch 97, 75% 	 Loss : 4.0351e-02 	 Res : 1.2424e-02 	 Jac : 1.8413e-02 	 Enc : 2.6692e-03 	 AEnc : 2.0523e-03 	 MSE : 4.7924e+00
Training Epoch 97 : 	 Train : 6.02132e-02 	 Res : 2.69750e-02 	 Jac : 1.86608e-02 	 Enc : 2.74544e-03 	 AE : 2.79743e-03 	 MSE : 9.03456e+00
Validation Epoch 97 : 	 Train : 5.45096e-02 	 Res : 2.08089e-02 	 Jac : 1.75666e-02 	 Enc : 2.58515e-03 	 AE : 1.23770e-03 	 MSE : 1.23112e+01
Training Epoch 97 finished, took current epoch 485.09s, cumulative time 42377.99s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
Epoch 98, 25% 	 Loss : 6.9739e-02 	 Res : 3.3310e-02 	 Jac : 1.8480e-02 	 Enc : 2.8776e-03 	 AEnc : 2.2985e-03 	 MSE : 1.2774e+01
Epoch 98, 50% 	 Loss : 4.5827e-02 	 Res : 1.7107e-02 	 Jac : 1.7928e-02 	 Enc : 2.5831e-03 	 AEnc : 1.3851e-03 	 MSE : 6.8235e+00
Epoch 98, 75% 	 Loss : 4.4277e-02 	 Res : 1.6010e-02 	 Jac : 1.8236e-02 	 Enc : 2.6895e-03 	 AEnc : 3.5375e-04 	 MSE : 6.9871e+00
Training Epoch 98 : 	 Train : 5.12658e-02 	 Res : 2.10577e-02 	 Jac : 1.82054e-02 	 Enc : 2.70325e-03 	 AE : 1.08660e-03 	 MSE : 8.21284e+00
Validation Epoch 98 : 	 Train : 4.98528e-02 	 Res : 2.22993e-02 	 Jac : 1.95193e-02 	 Enc : 3.14644e-03 	 AE : 1.86349e-04 	 MSE : 4.70142e+00
Training Epoch 98 finished, took current epoch 519.56s, cumulative time 42897.54s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
Epoch 99, 25% 	 Loss : 4.4377e-02 	 Res : 1.6161e-02 	 Jac : 1.8014e-02 	 Enc : 2.6937e-03 	 AEnc : 3.2501e-04 	 MSE : 7.1832e+00
Epoch 99, 50% 	 Loss : 1.2979e-01 	 Res : 9.3742e-02 	 Jac : 1.9225e-02 	 Enc : 2.8571e-03 	 AEnc : 7.3569e-04 	 MSE : 1.3229e+01
Epoch 99, 75% 	 Loss : 5.2887e-02 	 Res : 2.4847e-02 	 Jac : 1.8129e-02 	 Enc : 2.6885e-03 	 AEnc : 1.0487e-03 	 MSE : 6.1746e+00
Training Epoch 99 : 	 Train : 6.72268e-02 	 Res : 3.74367e-02 	 Jac : 1.82836e-02 	 Enc : 2.72851e-03 	 AE : 6.15392e-04 	 MSE : 8.16248e+00
Validation Epoch 99 : 	 Train : 4.21127e-02 	 Res : 1.45018e-02 	 Jac : 1.76967e-02 	 Enc : 2.49096e-03 	 AE : 1.77238e-04 	 MSE : 7.24608e+00
Training Epoch 99 finished, took current epoch 475.09s, cumulative time 43372.59s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
Epoch 100, 25% 	 Loss : 4.6217e-02 	 Res : 1.7368e-02 	 Jac : 1.7885e-02 	 Enc : 2.6086e-03 	 AEnc : 3.9122e-04 	 MSE : 7.9638e+00
Epoch 100, 50% 	 Loss : 5.5037e-02 	 Res : 2.3807e-02 	 Jac : 1.8344e-02 	 Enc : 2.7095e-03 	 AEnc : 3.3252e-04 	 MSE : 9.8440e+00
Epoch 100, 75% 	 Loss : 4.5786e-02 	 Res : 1.7781e-02 	 Jac : 1.8111e-02 	 Enc : 2.7511e-03 	 AEnc : 3.0316e-04 	 MSE : 6.8397e+00
Training Epoch 100 : 	 Train : 5.06866e-02 	 Res : 2.07175e-02 	 Jac : 1.81566e-02 	 Enc : 2.69063e-03 	 AE : 3.42936e-04 	 MSE : 8.77898e+00
Validation Epoch 100 : 	 Train : 5.07130e-02 	 Res : 1.85478e-02 	 Jac : 1.70415e-02 	 Enc : 2.58978e-03 	 AE : 2.63913e-04 	 MSE : 1.22700e+01
Training Epoch 100 finished, took current epoch 451.85s, cumulative time 43824.41s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
Epoch 101, 25% 	 Loss : 5.2726e-02 	 Res : 2.3929e-02 	 Jac : 1.8056e-02 	 Enc : 2.6809e-03 	 AEnc : 4.7219e-04 	 MSE : 7.5892e+00
Epoch 101, 50% 	 Loss : 8.1678e-02 	 Res : 4.7421e-02 	 Jac : 1.8287e-02 	 Enc : 2.7820e-03 	 AEnc : 3.6324e-03 	 MSE : 9.5562e+00
Epoch 101, 75% 	 Loss : 5.0479e-02 	 Res : 2.0132e-02 	 Jac : 1.7821e-02 	 Enc : 2.6470e-03 	 AEnc : 1.7753e-03 	 MSE : 8.1041e+00
Training Epoch 101 : 	 Train : 5.78276e-02 	 Res : 2.72886e-02 	 Jac : 1.80564e-02 	 Enc : 2.70328e-03 	 AE : 1.80418e-03 	 MSE : 7.97513e+00
Validation Epoch 101 : 	 Train : 4.01569e-02 	 Res : 1.33367e-02 	 Jac : 1.79187e-02 	 Enc : 2.85950e-03 	 AE : 2.47088e-03 	 MSE : 3.57108e+00
Training Epoch 101 finished, took current epoch 487.59s, cumulative time 44311.97s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
Epoch 102, 25% 	 Loss : 4.5021e-02 	 Res : 1.5602e-02 	 Jac : 1.8100e-02 	 Enc : 2.6026e-03 	 AEnc : 3.1667e-03 	 MSE : 5.5496e+00
Epoch 102, 50% 	 Loss : 4.6995e-02 	 Res : 1.7274e-02 	 Jac : 1.7834e-02 	 Enc : 2.7472e-03 	 AEnc : 8.3162e-04 	 MSE : 8.3077e+00
Epoch 102, 75% 	 Loss : 3.8410e-02 	 Res : 1.2807e-02 	 Jac : 1.8112e-02 	 Enc : 2.6154e-03 	 AEnc : 6.2279e-04 	 MSE : 4.2527e+00
Training Epoch 102 : 	 Train : 4.81870e-02 	 Res : 1.94822e-02 	 Jac : 1.79633e-02 	 Enc : 2.65285e-03 	 AE : 1.60323e-03 	 MSE : 6.48543e+00
Validation Epoch 102 : 	 Train : 5.24293e-02 	 Res : 2.67259e-02 	 Jac : 1.73926e-02 	 Enc : 2.69964e-03 	 AE : 1.06100e-03 	 MSE : 4.55005e+00
Training Epoch 102 finished, took current epoch 466.44s, cumulative time 44778.39s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
Epoch 103, 25% 	 Loss : 5.9511e-02 	 Res : 2.6152e-02 	 Jac : 1.7611e-02 	 Enc : 2.7930e-03 	 AEnc : 4.6868e-04 	 MSE : 1.2485e+01
Epoch 103, 50% 	 Loss : 6.1753e-02 	 Res : 2.8174e-02 	 Jac : 1.7838e-02 	 Enc : 2.8067e-03 	 AEnc : 5.2892e-04 	 MSE : 1.2406e+01
Epoch 103, 75% 	 Loss : 4.4703e-02 	 Res : 1.6230e-02 	 Jac : 1.7725e-02 	 Enc : 2.7793e-03 	 AEnc : 5.3028e-04 	 MSE : 7.4381e+00
Training Epoch 103 : 	 Train : 5.50116e-02 	 Res : 2.35225e-02 	 Jac : 1.78897e-02 	 Enc : 2.75423e-03 	 AE : 5.07516e-04 	 MSE : 1.03377e+01
Validation Epoch 103 : 	 Train : 3.59134e-02 	 Res : 9.64260e-03 	 Jac : 1.73596e-02 	 Enc : 2.64346e-03 	 AE : 2.89633e-04 	 MSE : 5.97805e+00
Training Epoch 103 finished, took current epoch 445.61s, cumulative time 45223.96s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
MODEL SAVED
Epoch 104, 25% 	 Loss : 7.7510e-02 	 Res : 4.4775e-02 	 Jac : 1.7913e-02 	 Enc : 2.7874e-03 	 AEnc : 7.4957e-04 	 MSE : 1.1285e+01
Epoch 104, 50% 	 Loss : 5.3224e-02 	 Res : 2.4337e-02 	 Jac : 1.7573e-02 	 Enc : 2.7416e-03 	 AEnc : 2.8524e-03 	 MSE : 5.7205e+00
Epoch 104, 75% 	 Loss : 4.8463e-02 	 Res : 1.8709e-02 	 Jac : 1.7927e-02 	 Enc : 2.7360e-03 	 AEnc : 3.1342e-03 	 MSE : 5.9578e+00
Training Epoch 104 : 	 Train : 5.76416e-02 	 Res : 2.63343e-02 	 Jac : 1.79437e-02 	 Enc : 2.75485e-03 	 AE : 3.52645e-03 	 MSE : 7.08219e+00
Validation Epoch 104 : 	 Train : 6.01758e-02 	 Res : 2.33763e-02 	 Jac : 1.78759e-02 	 Enc : 2.54327e-03 	 AE : 7.26533e-03 	 MSE : 9.11504e+00
Training Epoch 104 finished, took current epoch 483.85s, cumulative time 45707.79s
Current Learning rate DEQ : 0.0012004999999999995
Current Learning rate AUTOENC : 0.002400999999999999
Epoch 105, 25% 	 Loss : 5.2460e-02 	 Res : 2.0648e-02 	 Jac : 1.7820e-02 	 Enc : 2.7927e-03 	 AEnc : 3.1328e-03 	 MSE : 8.0667e+00
Epoch 105, 50% 	 Loss : 6.9376e-02 	 Res : 3.4314e-02 	 Jac : 1.7966e-02 	 Enc : 2.8630e-03 	 AEnc : 1.9263e-03 	 MSE : 1.2306e+01
